num,category,method_name,description,output_pattern,procedure_file
319,exploration,Consequence Analysis,Map what happens if you choose each option. Mark VERIFIED vs ASSUMED.,OPTION: [name],methods/method-procedures/319_Consequence_Analysis.md
320,exploration,Reversibility Check,Assess how hard it is to change course after choosing.,OPTION: [name],methods/method-procedures/320_Reversibility_Check.md
321,exploration,Dependency Analysis,Map which decisions must come before others.,DEPENDENCY MAP:,methods/method-procedures/321_Dependency_Analysis.md
322,exploration,Premortem,Imagine failure and trace its causes before it happens. Stress-test a specific option.,PREMORTEM: [option name],methods/method-procedures/322_Premortem.md
323,exploration,Black Swan Hunt,Find low-probability - high-impact events that could change everything.,BLACK SWANS IDENTIFIED:,methods/method-procedures/323_Black_Swan_Hunt.md
324,exploration,Assumption Stress Test,Break each key assumption to see what happens.,ASSUMPTION STRESS TEST:,methods/method-procedures/324_Assumption_Stress_Test.md
325,process,Cognitive Snapshot,Create a semantic map of the codebase (L2 Registry) by analyzing file paths and headers without executing code.,structured analysis output,methods/method-procedures/325_Cognitive_Snapshot.md
326,process,Transformation Proof,Prove that process transformation is lossless or document losses,Generate proof document according to data/transformation-proof-schema.yaml:,methods/method-procedures/326_Transformation_Proof.md
327,regulatory,Regulatory Requirement Mapper,Map EU AI Act articles to system capabilities with automated gap detection - creates requirement-to-capability mapping and identifies compliance gaps,regulatory_mapping → requirement_coverage → gap_report,methods/method-procedures/327_Regulatory_Requirement_Mapper.md
328,regulatory,Audit Trail Generator,Create tamper-proof timestamped compliance logs with blockchain-style immutability - records all compliance events with cryptographic guarantees,event → hash_chain → immutability_proof → audit_entry,methods/method-procedures/328_Audit_Trail_Generator.md
329,regulatory,Compliance Gap Analyzer,Compare required-by-law vs implemented-in-system to generate gap report with severity and remediation recommendations,requirements + capabilities → gap_analysis → remediation_plan,methods/method-procedures/329_Compliance_Gap_Analyzer.md
330,regulatory,Regulatory Change Monitor,Track EU AI Act updates and amendments to trigger compliance re-checks when changes detected - proactive regulatory intelligence,monitored_sources → change_detection → impact_assessment → triggered_actions,methods/method-procedures/330_Regulatory_Change_Monitor.md
331,regulatory,Compliance Evidence Packager,Package all compliance evidence (code tests logs docs) for auditor inspection - generates audit-ready bundle with verification,evidence_sources → organized_bundle → manifest → signature,methods/method-procedures/331_Compliance_Evidence_Packager.md
332,regulatory,High-Risk AI Classifier,Automated classification of AI systems as high-risk per EU AI Act Annex III - determines applicable compliance obligations,system_description → annex_match → risk_classification → obligations,methods/method-procedures/332_High_Risk_AI_Classifier.md
333,governance,Policy-as-Code Framework,Git-based governance policy management with version control code review and rollback - policies as YAML files with automated enforcement,policy_file → git_workflow → automated_enforcement → audit_trail,methods/method-procedures/333_Policy_as_Code_Framework.md
334,governance,Verifier Agent Protocol,Standard interface for AI verifiers enabling composable verification pipelines - AI agents that check other AI outputs,ai_output + context → verification_result → findings → recommendations,methods/method-procedures/334_Verifier_Agent_Protocol.md
335,governance,Model Drift Detector,Statistical methods for detecting distribution shift concept drift and data drift in production models,reference_distribution + production_data → drift_analysis → recommendations,methods/method-procedures/335_Model_Drift_Detector.md
336,governance,Bias Metric Calculator,Standardized bias measurement using established fairness metrics (demographic parity equalized odds etc),predictions + protected_attributes → fairness_metrics → bias_analysis → violations,methods/method-procedures/336_Bias_Metric_Calculator.md
337,governance,Guardrail Orchestrator,Coordinate input/output filters and manage conflicts between guardrails - ensures correct execution order and composition,guardrails + conflict_resolution → orchestrated_filtering → audit_log,methods/method-procedures/337_Guardrail_Orchestrator.md
338,governance,AI System Registry,Central catalog of all AI systems with owners risk classification compliance status and monitoring metrics,system_inventory → classification → ownership → monitoring → registry,methods/method-procedures/338_AI_System_Registry.md
339,governance,Automated Remediation Engine,Auto-fix when possible - drift triggers retrain bias triggers suspend hallucination flags for review,detected_issue + remediation_policy → automated_actions → notifications,methods/method-procedures/339_Automated_Remediation_Engine.md
340,governance,Governance Dashboard Generator,Auto-generate executive dashboards from monitoring data showing drift bias compliance and incidents,monitoring_data → aggregation → visualization → executive_dashboard,methods/method-procedures/340_Governance_Dashboard_Generator.md
341,security,Jailbreak Pattern Library,Catalog of known AI jailbreak techniques with detection patterns and test cases - enables systematic defense,pattern_catalog → detection_rules → test_cases → mitigation_strategies,methods/method-procedures/341_Jailbreak_Pattern_Library.md
342,security,Prompt Injection Detector,Detect adversarial prompts that try to override system instructions using multiple detection methods,user_input + context → injection_analysis → detected_attacks → recommendation,methods/method-procedures/342_Prompt_Injection_Detector.md
343,security,Attack Surface Mapper,Map all attack vectors (input points APIs dependencies) and prioritize by exploitability,system_analysis → attack_vectors → exploitability_assessment → prioritization,methods/method-procedures/343_Attack_Surface_Mapper.md
344,security,Vulnerability Taxonomy Builder,Classify vulnerabilities by type (OWASP CWE) plus custom AI-specific categories,vulnerability_data → taxonomy_classification → categorization,methods/method-procedures/344_Vulnerability_Taxonomy_Builder.md
345,security,Fuzzing Strategy Generator,Generate adversarial inputs systematically using grammar-based mutation-based and generative fuzzing,fuzzing_strategy + baseline → generated_test_cases → coverage_analysis,methods/method-procedures/345_Fuzzing_Strategy_Generator.md
346,security,Remediation Pattern Matcher,Match detected vulnerabilities to known fix patterns with code examples and validation steps,vulnerability + pattern_database → fix_pattern → code_example → validation,methods/method-procedures/346_Remediation_Pattern_Matcher.md
347,orchestration,Process Compatibility Checker,Determine which processes can run in parallel vs sequential by analyzing dependencies and resource conflicts,processes + dependencies → compatibility_analysis → execution_order → conflict_resolution,methods/method-procedures/347_Process_Compatibility_Checker.md
348,orchestration,Handoff Quality Validator,Verify handoffs are complete with no missing blockers and state fully captured before accepting,handoff + required_fields → validation_result → completeness_check,methods/method-procedures/348_Handoff_Quality_Validator.md
349,orchestration,Process State Tracker,Track where each process is in workflow with phase progress percentage and blockers,process_execution → state_tracking → progress_monitoring → blocker_detection,methods/method-procedures/349_Process_State_Tracker.md
350,orchestration,Cross-Process Dependency Mapper,Map dependencies between processes (not just within) to visualize workflow structure,process_relationships → dependency_graph → visualization → analysis,methods/method-procedures/350_Cross_Process_Dependency_Mapper.md
